timestamp,tx_hash,gas_price,from_address,to_address,amount
2025-10-28T12:00,0xabc123,100,0x111,0x222,1.5
2025-10-28T12:01,0xdef456,110,0x333,0x444,2.0
2025-10-28T12:02,0xghi789,130,0x555,0x666,2.2
2025-10-28T12:03,0xaaa111,500,0x777,0x888,45.0
2025-10-28T12:04,0xbbb222,102,0x999,0xaaa,1.7
2025-10-28T12:05,0xccc333,98,0xbbb,0xccc,1.4
2025-10-28T12:06,0xddd444,99,0xddd,0xeee,1.3
2025-10-28T12:07,0xeee555,120,0xfff,0xggg,2.1
2025-10-28T12:08,0xfff666,101,0xhhh,0xiii,1.6
2025-10-28T12:09,0xggg777,1100,0xjjj,0xkkk,100.0

